id,symbol,name,market_cap_rank,market_cap,total_volume,current_price,circulating_supply,total_supply,max_supply,price_change_percentage_24h,last_updated,reject_reasons,is_rejected
world-liberty-financial,wlfi,World Liberty Financial,34,4844981115,78557553.0,0.178018,27243802538.151157,100000000000.0,100000000000.0,3.65389,2026-01-24T22:24:58.360Z,,False
usd1-wlfi,usd1,USD1,35,4705053627,2559560222.0,0.999693,4706497653.359022,4706497653.359022,,-0.07904,2026-01-24T22:24:58.708Z,,False
hedera-hashgraph,hbar,Hedera,36,4645134301,60440749.0,0.108602,42794373834.39447,50000000000.0,50000000000.0,-1.11955,2026-01-24T22:24:58.407Z,,False
shiba-inu,shib,Shiba Inu,37,4620988130,66321634.0,7.84e-06,589243945633937.9,589500475236242.0,,-0.48968,2026-01-24T22:24:58.639Z,,False
usdt0,usdt0,USDT0,38,4549012616,124711602.0,0.998322,4556617798.530524,4556617798.530524,,-0.02259,2026-01-24T22:24:58.917Z,,False
paypal-usd,pyusd,PayPal USD,42,3758941662,20658930.0,0.999607,3760393747.836681,3760393747.970681,,0.1311,2026-01-24T22:24:59.093Z,,False
the-open-network,ton,Toncoin,43,3759545382,53517375.0,1.54,2435265170.29809,5152203360.451634,,0.95681,2026-01-24T22:24:58.701Z,,False
crypto-com-chain,cro,Cronos,44,3672948535,13120305.0,0.092272,39808011469.85049,98341301173.04698,100000000000.0,0.99,2026-01-24T22:24:58.370Z,,False
rain,rain,Rain,45,3415092985,46065348.0,0.01004791,339808375989.4253,1149942475920.937,1150000000000.0,1.01003,2026-01-24T22:24:58.879Z,,False
polkadot,dot,Polkadot,46,3194019373,61076864.0,1.93,1658437531.005018,1658437531.005018,,0.42054,2026-01-24T22:24:58.353Z,,False
uniswap,uni,Uniswap,47,3085735443,94571041.0,4.86,634597944.82848,899588420.0370889,1000000000.0,-0.17654,2026-01-24T22:24:59.329Z,,False
mantle,mnt,Mantle,48,2948517297,36885072.0,0.906044,3252944055.636841,6219316794.89,6219316794.89,2.79476,2026-01-24T22:24:58.960Z,,False
tether-gold,xaut,Tether Gold,50,2631611036,274489950.0,5056.95,520089.3,520089.3,,1.49129,2026-01-24T22:24:59.291Z,,False
bitget-token,bgb,Bitget Token,51,2548067301,50681158.0,3.64,699992035.9787906,916931610.9787906,2000000000.0,-0.02452,2026-01-24T22:24:58.607Z,,False
aave,aave,Aave,52,2372084448,150790734.0,156.35,15183664.56506108,16000000.0,16000000.0,-0.52231,2026-01-24T22:24:58.667Z,,False
bittensor,tao,Bittensor,53,2286250348,41349429.0,238.15,9597491.0,21000000.0,21000000.0,0.05267,2026-01-24T22:24:58.859Z,,False
okb,okb,OKB,55,2168403416,12983570.0,103.25,21000000.0,21000000.0,21000000.0,0.49799,2026-01-24T22:24:59.102Z,,False
pepe,pepe,Pepe,56,2105544487,213413198.0,5.01e-06,420690000000000.0,420690000000000.0,420690000000000.0,-0.59592,2026-01-24T22:24:59.167Z,,False
pax-gold,paxg,PAX Gold,57,2049992834,274655014.0,5092.87,402482.498,402482.498,,1.8632,2026-01-24T22:24:58.610Z,,False
near,near,NEAR Protocol,58,1939281343,61737846.0,1.51,1285973129.0,1285973115.0,,-0.11612,2026-01-24T22:24:58.751Z,,False
internet-computer,icp,Internet Computer,59,1911776700,45924425.0,3.49,547507497.7472788,547507497.7472788,,0.80283,2026-01-24T22:24:58.821Z,,False
ethereum-classic,etc,Ethereum Classic,61,1800535751,25680817.0,11.6,155256476.7359281,155256476.7359281,210700000.0,-0.25414,2026-01-24T22:24:58.812Z,,False
binance-peg-weth,weth,Binance-Peg WETH,62,1789008795,12079941.0,2956.98,604999.9999588211,604999.9999588211,,0.38526,2026-01-24T22:24:58.974Z,,False
ondo-finance,ondo,Ondo,64,1673861058,34790527.0,0.344009,4869330647.0,10000000000.0,10000000000.0,-1.2725,2026-01-24T22:24:58.864Z,,False
htx-dao,htx,HTX DAO,65,1635997293,19757719.0,1.78e-06,916533066327098.8,916533066327098.8,999990000000000.0,0.14719,2026-01-24T22:24:58.403Z,,False
